REGION,DIVISION,STATEFP,STATENS,GEOID,GEOIDFQ,STUSPS,NAME,LSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,RegionID,SizeRank,RegionType,StateName,31/01/2009,28/02/2009,31/03/2009,30/04/2009,31/05/2009,30/06/2009,31/07/2009,31/08/2009,30/09/2009,31/10/2009,30/11/2009,31/12/2009,31/01/2010,28/02/2010,31/03/2010,30/04/2010,31/05/2010,30/06/2010,31/07/2010,31/08/2010,30/09/2010,31/10/2010,30/11/2010,31/12/2010,31/01/2011,28/02/2011,31/03/2011,30/04/2011,31/05/2011,30/06/2011,31/07/2011,31/08/2011,30/09/2011,31/10/2011,30/11/2011,31/12/2011,31/01/2012,29/02/2012,31/03/2012,30/04/2012,31/05/2012,30/06/2012,31/07/2012,31/08/2012,30/09/2012,31/10/2012,30/11/2012,31/12/2012,31/01/2013,28/02/2013,31/03/2013,30/04/2013,31/05/2013,30/06/2013,31/07/2013,31/08/2013,30/09/2013,31/10/2013,30/11/2013,31/12/2013,31/01/2014,28/02/2014,31/03/2014,30/04/2014,31/05/2014,30/06/2014,31/07/2014,31/08/2014,30/09/2014,31/10/2014,30/11/2014,31/12/2014,31/01/2015,28/02/2015,31/03/2015,30/04/2015,31/05/2015,30/06/2015,31/07/2015,31/08/2015,30/09/2015,31/10/2015,30/11/2015,31/12/2015,31/01/2016,29/02/2016,31/03/2016,30/04/2016,31/05/2016,30/06/2016,31/07/2016,31/08/2016,30/09/2016,31/10/2016,30/11/2016,31/12/2016,31/01/2017,28/02/2017,31/03/2017,30/04/2017,31/05/2017,30/06/2017,31/07/2017,31/08/2017,30/09/2017,31/10/2017,30/11/2017,31/12/2017,31/01/2018,28/02/2018,31/03/2018,30/04/2018,31/05/2018,30/06/2018,31/07/2018,31/08/2018,30/09/2018,31/10/2018,30/11/2018,31/12/2018,31/01/2019,28/02/2019,31/03/2019,30/04/2019,31/05/2019,30/06/2019,31/07/2019,31/08/2019,30/09/2019,31/10/2019,30/11/2019,31/12/2019,31/01/2020,29/02/2020,31/03/2020,30/04/2020,31/05/2020,30/06/2020,31/07/2020,31/08/2020,30/09/2020,31/10/2020,30/11/2020,31/12/2020,31/01/2021,28/02/2021,31/03/2021,30/04/2021,31/05/2021,30/06/2021,31/07/2021,31/08/2021,30/09/2021,31/10/2021,30/11/2021,31/12/2021,31/01/2022,28/02/2022,31/03/2022,30/04/2022,31/05/2022,30/06/2022,31/07/2022,31/08/2022,30/09/2022,31/10/2022,30/11/2022,31/12/2022,31/01/2023,28/02/2023,31/03/2023,30/04/2023,31/05/2023,30/06/2023,31/07/2023,31/08/2023,30/09/2023,31/10/2023,30/11/2023,31/12/2023,31/01/2024,29/02/2024,31/03/2024,30/04/2024,31/05/2024,30/06/2024,31/07/2024,31/08/2024,30/09/2024,31/10/2024,30/11/2024,31/12/2024,31/01/2025,28/02/2025
3,5,54,1779805,54,0400000US54,WV,West Virginia,0,G4000,A,62266499712,489003081,38.6472854,-80.6183274,61,39,state,,58535.11981,58620.64503,58734.05564,58674.92719,58510.45882,58326.00812,58124.86837,57985.04999,57613.08948,57190.20896,56675.66523,56403.3975,56268.05112,56280.18453,56397.61364,56554.53524,56719.56108,56833.2709,56924.57062,57033.82023,56945.29335,56726.54496,56388.66939,56205.9593,56078.30354,55987.28314,55830.93589,55693.57375,55576.8715,55544.86785,55479.2945,55425.34229,55384.55018,55398.72735,55429.01341,55452.1707,55460.43807,55611.50565,55832.57989,55922.30545,56020.3315,56122.32917,56337.53518,56374.16804,56452.25975,56497.43189,56492.84159,56309.92556,56260.63463,56294.26981,56595.60871,56796.03446,57021.62625,57143.47342,57050.35412,56981.57029,56994.75137,57420.1292,57692.17206,57832.18263,57649.67857,57501.68545,57268.70829,57230.47071,57287.9495,57436.1543,57658.39254,57865.77105,58137.58323,58287.63935,58635.51941,59035.43055,59598.56018,59952.55422,60265.1494,60558.35291,60896.1933,61215.9335,61464.79191,61720.71035,62033.67713,62564.54086,63036.21463,63321.9226,63519.11889,63634.38389,63596.05863,63331.734,63049.75354,62947.90634,62924.70641,63049.32655,63278.94114,63457.74865,63584.3556,63637.55164,63657.94778,63691.96662,63587.18546,63598.61898,63581.36424,63498.89363,63377.00893,63304.36218,63579.54212,63960.73608,64401.35451,64587.62568,64770.23453,64893.56256,65370.40783,65936.00677,66497.22278,66761.42714,66897.20275,67059.91225,67377.41838,67522.78242,67680.97493,67742.56705,67711.13658,67685.48159,67670.25283,67694.55489,67665.4619,67709.77008,67959.05165,68084.04812,68066.35094,68041.38628,68069.43546,68269.58734,68286.1413,68570.32702,68978.83867,69639.84057,70067.25418,70208.04305,70346.92904,70964.85071,72239.9424,73924.62904,75728.20124,77291.59154,78642.64882,79972.22353,81316.84785,82324.63413,83086.78738,84041.62537,84457.29827,84228.29333,83083.19334,82691.18204,83062.45738,83902.22675,85351.4666,86831.92131,88327.90097,89401.78983,90274.30539,91223.55567,91844.82291,92060.20367,92000.202,92103.22094,92198.12711,92379.63986,92096.61674,91839.15741,92046.96596,92786.34128,94016.26062,94892.35095,95494.09518,95779.96206,95993.00694,96181.14892,96625.82739,96895.95336,97180.49887,97629.03037,98621.81831,99782.87982,100930.6453,101894.686,102788.3062,103364.6538,103534.9449,103644.0758,103598.0643,103998.3631,104363.1015,104752.8406
3,5,12,294478,12,0400000US12,FL,Florida,0,G4000,A,1.39E+11,45970528648,28.3989775,-82.5143005,14,2,state,,125683.1132,123045.239,120472.9984,117936.8573,115422.4558,113042.7435,110939.9926,108961.8412,107138.2167,105571.4921,104486.2444,103585.1671,102845.9484,102155.876,101594.5239,101100.5994,100546.1198,99869.5381,99037.52393,98063.95309,97020.77693,95899.60012,94778.70266,93732.72714,92713.76904,91757.761,90771.02612,89817.63889,88864.92254,88004.80919,87192.26374,86535.2242,86018.44464,85689.44767,85499.94994,85387.95669,85349.19236,85356.41385,85389.68861,85582.98942,85935.3821,86441.73839,86943.97406,87312.6697,87720.84878,88230.65001,88978.11457,89990.87125,91222.99886,92504.96475,93859.71481,95243.06576,96837.6013,98360.87157,99787.01249,101122.522,102453.8417,103845.2313,104998.0427,106128.9289,107178.9623,108413.2998,109615.7645,110845.7236,112119.8886,113234.7663,114361.7661,115275.9261,116200.0593,116946.2236,117869.9532,118916.8385,120006.168,120945.018,121770.7283,122613.4775,123521.8202,124455.8389,125564.6056,126850.2373,128246.8188,129713.5251,131043.3034,132293.7685,133399.5474,134511.6326,135627.617,136831.3288,137954.9735,139104.3536,140072.1601,141209.6818,142477.1162,143944.0832,145262.8424,146295.2013,147134.1673,148033.0998,149101.099,150219.0298,151229.8484,152315.8793,153451.1427,154697.7021,155826.718,156963.7605,158153.112,159434.4508,160574.9158,161581.4066,162672.0763,163685.3201,164664.6079,165408.2879,166493.1601,167589.5574,168730.031,169685.2695,170772.226,171971.1885,173104.892,173993.7598,174489.1146,174732.0518,174794.3261,175011.9325,175376.26,175936.3668,176498.2158,177252.6324,178320.756,179652.3378,181277.5719,182742.521,183927.374,184519.3956,184514.3355,184353.3734,184495.4081,185361.1728,186940.1052,188898.5829,191275.501,193588.3636,195744.7717,197833.4963,200242.3277,203161.202,206809.6961,211450.8046,216353.408,220812.8159,224390.257,227860.9666,231728.1028,235932.2154,241162.4829,247267.8361,254505.4962,262362.6124,270195.3253,277626.8894,283074.2558,286258.5988,287405.3024,287834.1592,288238.4957,288432.1822,287982.6774,287395.3417,287127.9601,287679.8085,288668.6712,290125.8333,291449.3434,292789.3001,293626.3342,294338.855,294860.4346,295102.2145,295320.1992,295433.9794,295638.4498,295556.1686,294962.609,293708.8136,292213.2865,290773.7345,289366.6478,287925.8839,286284.5966,284909.2517,283600.983,282193.2058
2,3,17,1779784,17,0400000US17,IL,Illinois,0,G4000,A,1.44E+11,6216688589,40.1028754,-89.1526108,21,5,state,,121220.9984,119983.4381,118801.0751,118008.3065,117034.6932,116190.5156,115378.8059,114642.4956,113676.2039,112673.2038,111652.627,111003.7918,110442.3514,110112.0714,109608.307,109516.2503,109193.1175,109078.1825,108130.6366,107225.0153,106019.7392,105009.8619,103683.0521,102366.1708,101113.4264,100148.7535,99385.67831,98603.44499,97899.77365,97070.53573,96345.20282,95494.08769,94652.88293,93574.94203,92613.48152,91540.70722,90745.31877,90019.67992,89421.76853,88836.73942,88376.84141,88195.7754,88252.42966,88279.96484,88291.71809,87980.25466,87446.72512,86852.01657,86594.12151,86739.78515,87158.62615,87925.10269,88701.03313,89674.28791,90518.17735,91534.33126,92476.75668,93704.79929,94857.58576,95974.42247,96628.35687,97328.84331,98082.676,99038.62503,100088.3057,101097.9483,102140.7313,103000.1286,103764.5592,104398.912,104995.8006,105486.0973,105769.8874,105791.0676,106034.483,106477.2223,107307.9025,108056.8616,108879.1648,109548.6413,110172.0228,110906.4928,111643.0704,112366.357,113054.0425,113787.6477,114388.0955,115058.3339,115793.2535,116678.0651,117281.9486,117773.9674,118200.1343,118798.3783,119572.9724,120606.0929,121668.7415,122764.6404,123813.5221,124639.502,125252.0579,125561.2456,125897.0656,126309.79,127067.7606,128109.9248,129411.3713,130769.9208,132079.5446,133292.2349,134620.1502,135780.2454,136612.4612,136852.7235,137140.5384,137496.0038,137979.9612,138280.1788,138583.2145,138982.895,139682.6612,140606.5747,141454.1934,142013.3165,142238.3529,142377.213,142345.7176,142230.5321,141899.5764,141789.8849,141943.6889,142472.472,143638.0279,144961.7154,146238.9466,146848.6949,146854.525,146490.2117,146079.0052,146107.4849,146838.4533,148050.5407,149646.7419,151233.1881,152785.8632,154694.5974,156820.8678,158870.6739,160550.832,162215.8026,163893.2512,165270.8015,166080.9472,166629.0117,167270.236,168281.5198,169830.9999,172025.1332,174657.3829,177404.227,179364.6558,180855.4911,181421.1795,181497.8276,181073.7727,180880.0839,180976.9606,181210.4798,181237.3351,181723.1419,182750.9901,184514.1297,186498.7719,188616.1943,190752.4454,192908.9517,194861.2063,196669.1279,198085.3965,199006.597,199539.093,200439.4728,202103.1942,204352.2786,206235.8803,207723.4809,208780.1065,209753.4786,210477.1393,211143.1023,211887.1558,212877.4303,213926.7158,214983.5912
2,4,27,662849,27,0400000US27,MN,Minnesota,0,G4000,A,2.06E+11,18937471947,46.3159573,-94.1996043,31,21,state,,136625.2083,135444.7572,134088.3489,132822.1303,131764.7822,131008.5915,130428.218,129916.4203,129308.8745,128613.6389,127937.089,127523.7311,127249.296,127186.3265,127386.0226,127686.6296,127951.3887,127882.3731,127529.8118,126726.905,125547.4786,124254.9668,123022.2392,121632.3082,120190.1703,118674.0693,117482.2885,116311.7083,115124.8486,113928.7374,112836.9827,112015.3374,111325.6329,110703.3232,110032.5389,109318.2975,108690.5777,108323.3045,108287.2719,108493.4458,108963.8033,109739.7048,110814.5794,111922.3308,113075.4206,114257.8455,115348.6179,116364.2329,117395.7632,118445.287,119562.5737,120527.7724,121746.0939,123071.7603,124590.0067,126171.5025,127705.9155,129184.7339,130281.7046,131256.6377,132073.6984,133013.3287,133935.9187,134849.8632,135747.176,136426.4112,136966.6847,137282.3086,137543.2761,137735.0624,138048.9359,138508.688,139114.6469,139836.0285,140608.7719,141439.2914,142235.3761,142885.8405,143461.739,144022.1685,144651.4499,145360.4706,146101.7676,147045.0949,148153.8869,149309.8965,150330.8551,151341.0856,152081.2965,152792.7998,153195.0667,153718.4957,154405.1549,155318.9072,156382.5793,157475.6177,158582.05,159750.1005,160963.8605,162365.4761,163684.6243,164863.2275,165753.38,166479.1929,167066.7572,167764.7091,168738.7966,170038.1252,171431.0243,172956.3237,174739.278,176462.1419,177927.153,178769.3358,179744.9792,180601.1627,181514.021,182074.0747,182707.5678,183488.1547,184656.7376,186113.7894,187712.3734,189094.4641,190080.3169,190800.1912,191274.9744,191704.2791,192001.421,192450.4792,193198.9423,194256.8445,195636.0464,197145.6918,198830.3985,200409.9143,201307.9559,201470.2237,201269.495,201560.5785,202783.8552,204757.9562,207228.4422,209726.787,211960.5306,214182.2857,216593.0044,219486.1112,222876.2659,226532.5476,229800.5875,231840.6561,232692.343,233024.9854,233686.6133,234684.6259,236332.0035,238454.5466,241120.7933,244133.3406,247024.0702,249434.5777,250267.3875,249659.8313,248223.3831,247294.935,246911.1144,246616.5826,246198.6603,245926.5197,246004.3334,246524.1621,247370.6382,248722.09,250062.444,251357.9568,252291.7589,252764.287,253002.4263,252851.9982,252797.2196,253041.0295,253881.2856,254783.0037,255110.9458,254890.8737,254595.8855,254725.2169,254986.7099,255481.293,255943.1312,256962.9321,258009.6665,258814.2712
3,5,24,1714934,24,0400000US24,MD,Maryland,0,G4000,A,25151736098,6979330958,38.9466584,-76.6744939,27,17,state,,192911.0626,190847.3351,188668.3475,186405.724,184221.2149,182502.892,180837.5719,179369.072,177758.553,176504.3887,175508.4806,174660.5121,174042.6725,173340.104,172865.4975,172488.8649,172367.4891,171986.3268,171170.1811,169714.6323,167967.7352,166323.4682,164748.8497,163268.4748,161862.7696,160825.2872,160078.0378,159313.7219,158345.3117,157218.4002,155938.811,154622.0568,153213.9813,152045.9012,151072.0537,150311.5425,149601.2142,149235.5922,149149.6772,149342.2079,149457.0279,149548.2083,149657.1976,149643.1317,149833.3341,149942.0496,150352.4979,150663.6756,151560.0266,152670.7984,153851.8663,154804.266,155949.7761,157178.1065,158028.5666,158411.4914,158900.1567,159743.444,160712.6526,161495.3808,162127.5989,162831.8676,163584.8198,164484.1076,165431.5642,165996.3417,166204.4969,165933.7586,165882.2453,165759.6886,165958.1856,166057.5499,166169.7185,166174.7018,166369.5774,166738.6699,167103.71,167275.3963,167462.2384,167719.7923,168046.8121,168466.1355,168844.364,169300.9075,169745.554,170145.5016,170332.1795,170557.8817,170761.3961,171221.7084,171411.1086,171652.7595,172051.2945,172652.8919,173413.2483,174130.4207,174825.0011,175677.6621,176453.2578,177391.8982,178034.5042,178591.8989,179041.1044,179501.5185,180100.2666,180771.7439,181551.3082,182409.3023,183150.4524,183823.0019,184571.4942,185242.4381,185912.004,186271.5706,187056.5355,187958.9166,189083.0213,189958.9231,190831.8231,191623.9306,192220.2592,192667.7191,193083.5145,193663.4485,194206.4681,194762.6884,195242.2783,195751.6787,196100.4191,196499.0714,197180.0366,198170.1265,199413.5642,200638.9702,201826.9543,202801.5138,203147.4824,203082.7429,203094.2729,203723.1633,205239.1556,207324.6861,209930.2205,212470.3983,214688.2342,216864.9068,219403.9402,222433.9418,225791.8135,229009.6398,231579.3293,233446.014,234580.6381,235595.6471,236626.9663,238000.5171,239746.9086,241804.8612,244099.4715,246849.8776,249703.4859,252465.3293,253919.5829,254089.0394,253466.1036,253257.65,253496.9613,253795.2915,254131.2002,254573.9455,255471.0953,256825.7828,258784.3552,261031.7252,263234.7821,265326.4993,267162.1219,268559.8024,269582.0675,270066.7405,270564.868,271181.4193,272564.483,274171.5995,275503.1916,276035.9365,276130.4304,276223.3066,276525.8487,277006.453,277491.1482,278258.5974,279115.3319,279851.7022
1,1,44,1219835,44,0400000US44,RI,Rhode Island,0,G4000,A,2677763372,1323686976,41.596485,-71.5264901,50,43,state,,202187.4546,199600.8979,196977.7111,194867.6376,192879.7531,191105.161,189326.141,187818.4319,186909.1453,186495.6717,186632.9325,186735.4607,187302.4207,187944.905,188744.2181,188832.4696,188511.5913,188247.2993,188082.8498,187816.4551,186871.4875,185619.3684,184301.9281,183316.7896,182482.8534,181900.7339,181080.0332,179970.5028,178460.1739,177213.131,175995.6012,174889.9461,173646.8081,172223.2592,170548.1693,168944.831,167781.1414,166901.2271,166349.0314,165916.9771,165681.1292,165446.4529,165344.1973,165064.3231,164750.9208,164536.8219,164632.0622,164556.3725,164373.3614,164344.7647,164899.3333,165823.3077,166952.6664,168022.2975,168875.6288,169615.5352,170351.4566,171179.759,172006.9766,172653.9626,173169.3321,173624.8438,174281.7325,175327.0082,176542.6723,177354.4941,177816.6649,177935.7177,178203.9519,178397.8842,178859.5215,179307.03,179636.4627,180001.0862,180474.9115,181096.7688,181559.4787,181976.0818,182658.2498,183551.0863,184562.4292,185620.0563,186765.3889,187948.4129,189162.4308,190194.4626,191029.3102,191835.0784,192796.8952,193960.0193,194945.7255,195851.8372,196948.843,198049.1506,199423.6462,200751.4173,202139.7394,203451.3978,204867.9239,206621.083,208374.7254,209923.5959,211214.3559,212275.7778,213465.5928,214638.6978,216116.9912,217633.5112,219107.5398,220237.6186,221653.0056,223210.7367,224878.0076,226082.5534,227465.5549,228922.8315,230323.6722,231136.0364,231603.6196,231973.8543,232437.7034,233166.0697,234026.3777,235091.2097,235908.8787,236729.2166,237331.6688,237945.9775,238547.75,239360.3393,240723.5639,242186.3161,244255.1883,246364.6325,248723.5399,250751.3388,251624.8494,251626.397,251509.2922,252505.5412,254814.5143,258101.6879,262119.3931,266531.1407,270646.0667,274942.8411,279490.9018,284643.5625,290044.9313,295292.9322,299226.6791,301418.4929,302021.2998,302330.9542,303117.674,304556.0241,307413.0177,311721.4046,317285.3561,323068.7526,328375.3188,332904.7573,335281.4339,335254.894,333911.7716,333161.4916,333363.5009,333647.0335,333398.3543,333484.6727,334662.2928,337567.181,341419.2001,345552.4211,349468.3859,353014.0554,356021.7274,358467.0334,360335.822,362112.9945,363560.2459,365006.1921,367078.706,369696.8303,372559.1693,374589.8849,376686.2877,378964.0113,381396.0501,383392.7546,384784.9642,386238.3475,387330.2036,388466.6529
4,8,16,1779783,16,0400000US16,ID,Idaho,0,G4000,A,2.14E+11,2391614331,44.3484222,-114.5588538,20,38,state,,128430.7125,127019.9581,125529.775,124146.5951,122820.8475,121629.814,120420.9492,119224.3368,117978.2152,116907.1903,115937.4442,115296.6889,114476.583,113856.5847,113116.5539,112575.2373,112033.3925,111041.576,109710.0202,108276.3893,106862.6958,105535.5316,104199.8659,102962.5684,101697.5402,100418.1286,99309.80348,98222.43158,97255.20525,96443.38355,96012.65181,95717.52067,95465.32602,95314.54615,95220.97035,95216.0407,95098.68501,95202.15207,95465.90963,95961.12379,96553.68754,97297.22486,98231.62413,99182.51953,100265.8455,101325.0319,102277.9614,103075.7679,103688.0315,104344.227,105059.1499,105994.5162,107201.5314,108447.7097,109597.1603,110559.7943,111505.1972,112505.1203,113281.3882,113942.3171,114385.177,114879.7617,115442.5528,116145.1464,117090.9224,117811.9801,118601.6,119124.5084,119660.5538,119980.2818,120233.4787,120510.5335,120855.8416,121441.7174,122218.2165,123182.0666,124275.5115,125297.4049,126230.6651,127143.6111,128116.9459,129123.2518,129786.1117,130515.2212,131562.9143,132896.2088,134130.2318,135174.2658,136251.0926,137445.8237,138411.8923,139296.7219,140204.551,141319.2552,142657.1496,144035.3855,145374.6159,146765.1408,148083.2383,149497.9036,150683.9322,151965.39,153230.6136,154497.0194,155812.5091,157219.4745,158752.7705,160282.0881,161914.8159,163775.1757,166103.7376,168426.5283,170727.4832,172648.8019,174742.3582,176883.811,179126.5968,181070.1235,182959.028,184739.097,186578.7752,188312.7248,190283.7169,192235.2665,194188.6819,196160.7378,198189.5391,200286.4569,202080.2797,204036.5655,206188.5977,208656.0731,211497.2645,214564.6445,217830.4924,220766.4402,223052.0071,224708.6599,226516.2736,229107.8725,233157.7888,238336.6707,244837.9754,252035.2319,259656.5104,268029.6293,277666.6989,288243.3981,299298.3184,309569.2111,318353.8188,324558.5794,328385.4835,331280.3527,334198.3199,337574.6933,341451.9654,346372.4694,352388.4393,359005.375,364548.315,368382.0564,368503.7071,365244.0367,359940.5963,355061.0484,350689.5581,346457.8501,342282.6473,338949.7662,336618.9104,335752.0202,335706.9928,336518.4556,337320.0105,338523.5627,339502.5797,340318.8533,340488.4984,340113.2271,339633.4992,340059.0042,341278.6141,342571.181,342929.7987,342525.7264,342228.498,342579.5318,343271.6933,343869.4252,344213.8943,344985.7515,345654.7982,346377.4797
1,1,33,1779794,33,0400000US33,NH,New Hampshire,0,G4000,A,23190126365,1025956733,43.6727945,-71.5841886,39,41,state,,174921.9712,174086.3377,173363.7542,172184.3698,170895.8677,169822.6187,168908.1571,168049.8746,167132.4687,166346.8461,165880.2229,165635.8811,165520.9327,165262.4527,164835.5173,164329.3116,163960.3144,163721.068,163635.4927,163552.2129,163654.6873,163499.7913,163019.5078,162291.9955,161557.3403,161254.4799,160893.1229,160480.6708,159672.6276,158809.3248,157735.4887,156896.7187,156168.224,155803.5985,155302.6285,154774.1477,154096.1729,153717.5541,153658.6248,153937.7336,154218.195,154496.476,154800.9581,154755.7467,154695.2178,154580.4915,154616.329,154586.0804,154617.617,154976.0316,155270.8252,155751.3936,156311.3942,156991.7587,157383.7828,157807.3606,158413.4966,159208.0904,159612.5618,159900.9365,160155.2465,160492.4114,160851.3738,161237.8199,162018.3951,162712.7851,163315.4827,163629.9816,163762.8999,163768.4078,163824.0614,164184.7865,164626.4704,165165.7429,165609.436,166257.4253,166991.7492,167838.0359,168715.3653,169706.8608,170686.9172,171783.2536,172575.0705,173285.7434,173808.192,174194.3167,174350.976,174652.6237,175382.2138,176450.8368,177212.1474,177727.3838,178134.7858,178733.0812,179611.697,180782.8211,182045.8628,183234.7234,184381.2381,185687.1494,186994.4761,188248.5073,189487.2786,190648.7231,191606.3296,192559.6535,193591.344,194817.3922,196063.9585,197247.298,198722.5771,200141.2898,201663.468,202938.0758,204429.3579,205771.4917,206885.1741,207490.3539,207990.5308,208405.6872,208793.0302,209236.5347,209934.1164,210805.1529,211834.1505,212989.7666,214397.0631,215709.6968,216716.1385,217540.7146,218530.6215,219621.9472,220923.9472,222319.8265,224082.1449,225796.1125,227159.0162,228086.5471,229176.3908,231111.7137,234379.4551,238416.1687,242813.8998,247160.3453,251307.1763,255672.3307,260306.2186,265574.8605,271387.9521,277356.1041,282314.8591,284833.1049,285119.0406,284824.4401,285542.8517,287506.9128,291610.6727,297623.4287,305219.3124,312976.1353,319619.187,324660.1279,326965.2365,327015.3635,326027.0711,325444.0868,325864.7476,326402.6585,326706.221,327180.3781,328398.1407,330763.6185,333844.0927,337527.8105,341312.8566,345433.5236,349364.7627,352585.0345,354566.4141,355589.5194,356438.0333,357806.2124,360268.4273,363101.8959,365472.3595,366830.4228,367711.3639,369215.3478,371089.5451,373116.2167,374284.7262,375406.2905,376187.1395,376996.5669
3,5,37,1027616,37,0400000US37,NC,North Carolina,0,G4000,A,1.26E+11,13453540851,35.53971,-79.1308636,36,8,state,,103175.9775,102670.301,102282.3751,101965.8829,101598.3702,101140.6439,100662.2089,100065.1142,99521.85142,99060.04121,98781.25173,98526.19561,98236.05015,97911.91413,97629.84269,97475.35333,97344.44265,97146.05521,96776.41159,96306.95672,95773.04262,95235.89754,94657.94159,94075.75308,93460.48958,92885.64183,92342.97446,91781.92802,91226.10192,90658.42694,90168.52855,89716.99926,89327.8701,88897.90311,88466.51443,88078.94542,87778.80624,87663.92245,87746.48505,87930.61089,88136.70041,88252.2309,88419.0675,88382.16673,88374.75335,88183.43544,87941.20313,87554.20032,87200.47487,87006.791,87008.71661,87152.75443,87467.023,87923.25872,88389.48937,88863.49321,89219.41162,89633.48634,89828.29346,89958.70545,89971.39335,90111.92834,90260.431,90583.32175,91027.94589,91427.07249,91731.23826,91818.07267,91847.43839,91703.63635,91723.87253,91907.4205,92192.35666,92478.1835,92747.0524,93138.88466,93626.43549,94139.69267,94680.61554,95205.11576,95720.0673,96303.24084,96744.76032,97268.37616,97852.73521,98486.58106,98813.46461,99021.84689,99209.09661,99677.20963,100035.8865,100554.2559,101087.7213,101816.2066,102550.0267,103272.482,103936.6023,104497.528,105022.4745,105644.1864,106217.2546,106788.6023,107438.477,108209.4559,109034.2224,109794.5059,110612.3178,111477.3456,112380.1699,113258.5128,114242.937,115128.8331,115948.7733,116579.2216,117292.8928,118091.3258,118981.555,119779.0817,120654.7331,121576.485,122548.9707,123404.9807,124233.1963,124911.5848,125476.751,125902.8372,126364.7839,126904.9768,127478.372,128277.4296,129239.4532,130237.2274,131209.3415,132258.7661,133562.9554,134848.8337,135707.718,136156.1995,136687.0338,137902.3243,139975.7533,142609.9859,145474.2998,148291.2266,150840.8777,153460.59,156232.3097,159249.2391,162467.8966,165947.5831,168881.3463,170810.3961,171749.9289,172715.4287,174192.7237,175869.004,178638.2636,182254.2915,186839.4599,191454.9361,195647.0651,199436.6565,202053.3448,203435.9864,203810.9144,204000.1462,204225.277,204159.1546,203580.7103,203191.7034,203637.4873,205117.9785,206943.7768,208815.7017,210426.8527,212011.5082,213354.7538,214409.2175,215366.3293,215882.3501,216207.8249,216587.7902,217694.4046,219258.9005,220755.5124,221610.1624,221965.2842,221911.064,221504.1247,221063.5582,220546.524,220685.452,220829.1691,220964.6107
1,1,50,1779802,50,0400000US50,VT,Vermont,0,G4000,A,23872589127,1030648383,44.0589536,-72.6710173,58,50,state,,162017.2209,162083.9567,162212.1763,162059.0819,162107.7553,162082.1011,161849.7809,161217.8081,160639.6204,160231.9183,159871.6896,159601.5864,159874.8987,160464.3796,161344.1521,161766.7965,162065.4952,162175.1635,162444.6611,162791.3396,163019.811,163357.7644,163577.92,163825.2447,163553.1094,163194.4426,162711.7316,162449.9453,162012.9815,161702.8048,161465.6431,161428.563,161349.8843,161330.9171,161533.7648,161759.3939,161782.4785,161739.2867,162124.1398,162864.7084,163798.4201,164562.9933,165290.3471,165716.4637,166168.3521,166581.4609,167016.1018,167084.4466,167138.9697,167316.8961,167396.1529,167474.4162,167540.7937,167757.5611,167836.881,168185.0917,169209.4753,170546.6258,171443.972,171777.2676,171659.5035,171183.0772,170672.2205,170364.3065,171144.8402,171913.77,172824.3083,173035.3782,173319.2889,173289.4572,173348.4686,173385.0995,173424.1955,173548.3559,173725.7014,174128.8189,174336.5848,174445.8445,174579.3806,175121.3801,175870.9894,176658.9596,176891.0516,177003.0595,176943.6008,177150.5389,176924.4354,177070.2509,177374.7348,178252.1354,178629.1967,178955.7582,179251.3507,179719.9018,180447.497,181488.4094,182730.1271,183750.2884,184800.6325,186048.3406,187207.3249,188115.4993,188929.4102,189716.5252,190207.7478,190644.5022,191182.4628,191987.9617,192789.0081,193756.5824,194830.27,195721.4651,196527.1457,196903.4427,197824.4855,198718.1164,199571.7093,199804.6474,199892.8438,200064.7349,200482.2255,201186.4713,202242.0749,203173.2429,203817.5318,204289.7627,204945.2844,205540.6876,205866.979,206089.3431,206568.2701,207527.6383,208801.8861,210095.8853,211387.0329,212549.2708,213592.4228,214078.9491,214551.1699,215212.038,216747.666,218686.3535,220970.4469,223627.5549,226348.949,229418.0576,232570.1112,235996.3096,239880.7155,244323.0456,249130.1299,253224.5312,256290.4872,258365.7003,260399.5603,262552.7686,265599.4532,269224.8758,273609.5357,278743.5741,284212.0528,289599.3083,292943.7491,293889.3914,292990.1264,292419.8582,292672.9128,293142.3139,293010.2388,292623.0127,292989.0835,294777.4423,297901.3013,301416.8069,304378.2664,306831.0024,308721.4727,310237.0897,311175.7719,311374.0484,311686.3733,312218.8218,313814.1548,315420.1857,316796.307,317350.359,317350.5683,317437.5101,317564.1713,317765.6333,317484.5394,317426.4132,317399.7832,317682.6555
